date,bullish,neutral,bearish
2026-08-05,37.0,25.0,38.0
2026-07-29,31.0,26.9,42.1
2026-07-22,29.6,28.1,42.3
2026-07-15,44.9,22.2,32.9
2026-07-08,36.3,26.5,37.2
2026-07-01,31.4,26.4,42.3
2026-06-24,44.9,18.9,36.1
2026-06-17,36.6,24.1,39.4
2026-06-10,30.4,22.0,47.7
2026-06-03,36.3,26.7,37.0
2026-05-27,35.6,22.6,41.9
2026-05-20,31.7,24.7,43.6
2026-05-13,39.3,24.1,36.6
2026-05-06,38.3,28.7,33.0
2026-04-29,38.1,22.2,39.7
2026-04-22,46.0,19.5,34.4
2026-04-15,31.7,25.5,42.8
2026-04-08,35.7,21.3,43.0
2026-04-01,33.6,15.0,51.4
2026-03-25,32.1,18.1,49.8
2026-03-18,30.4,17.6,52.0
