date,margin_short_total,margin_long_total,margin_short_customer,margin_ratio
2026-05-29,439393,3854835,293638,8.77
2026-05-22,458095,3756697,300309,8.2
2026-05-15,446002,3799259,287714,8.52
2026-05-01,422455,3797625,263708,8.99
2026-04-24,461877,3803972,305022,8.24
2026-04-17,450482,3623441,303163,8.04
2026-04-10,442796,3623455,290093,8.18
2026-04-03,459502,3586892,296819,7.81
2026-03-27,843359,3545577,619538,4.2
2026-03-19,535687,3775021,399312,7.05
2026-03-13,513692,3742128,379879,7.28
2026-03-06,460736,3686652,337907,8.0
